#
# Using the ISO-4 standard of journal abbreviations
#
Abbreviated Name                               Complete Name
Comput. Biol. Med.                             Computers in Biology and Medicine
Comput. Geom.                                  Computational Geometry
Comput. Graph.                                 Computers & Graphics
Comput. Phys.                                  Computers in Physics
Comput. Phys. Commun.                          Computer Physics Communications
Comput. Sci. Eng.                              Computing in Science & Engineering
Computing                                      Computing
Conn. L. Rev.                                  Connecticut Law Review
Contemp. Phys.                                 Contemporary Physics
Contr. Biol. Lab. Kyoto Univ.                  Contributions from the Biological Laboratory, Kyoto University
Curr. Biol.                                    Current Biology
Curr. Opin. Colloid Interface Sci.             Current Opinion in Colloid & Interface Science
Curr. Opin. Neurobiol.                         Current Opinion in Neurobiology
Curr. Opin. Struct. Biol.                      Current Opinion in Structural Biology
Curr. Res. J. Biol. Sci.                       Current Research in Structural Biology
Cytom. A                                       Cytometry Part A
Data Min. Knowl. Discov.                       Data Mining and Knowledge Discovery
Dev. Psychopathol.                             Development and Psychopathology
Diagnostics                                    Diagnostics
Dialogues Clin. Neurosci.                      Dialogues in Clinical Neuroscience
Discrete Math.                                 Discrete Mathematics
Ear Hear.                                      Ear and Hearing
Ecography                                      Ecography
Ecol. Complex.                                 Ecological Complexity
Ecol. Lett.                                    Ecology Letters
Ecol. Monogr.                                  Ecological Monographs
Ecology                                        Ecology
Electron. J. Stat.                             Electronic Journal of Statistics
eLife                                          eLife
Emerging Infect. Dis.                          Emerging Infectious Diseases
Entropy                                        Entropy
Epidemics                                      Epidemics
Epidemiol. Infect.                             Epidemiology and Infection
EPJ Data Sci.                                  EPJ Data Science
EPL                                            Europhysics Letters
EPL                                            EPL (Europhysics Letters)
Ethics Inf. Technol.                           Ethics and Information Technology
Eur Neuropsychopharmacol                       European Neuropsychopharmacology
Eur. J. Phys.                                  European Journal of Physics
Eur. Phys. J. B                                The European Physical Journal B
EURASIP J. Adv. Signal Process.                EURASIP Journal on Advances in Signal Processing
Eurosurveillance                               Eurosurveillance
Found. Sci.                                    Foundations of Science
Found. Trends Mach. Learn.                     Foundations and Trends in Machine Learning
Front. Aging Neurosci.                         Frontiers in Aging Neuroscience
Front. Appl. Math. Stat.                       Frontiers in Applied Mathematics and Statistics
Front. Artif. Intell.                          Frontiers in Artificial Intelligence
Front. Big Data                                Frontiers in Big Data
Front. Comput. Neurosci.                       Frontiers in Computational Neuroscience
Front. Ecol. Evol.                             Frontiers in Ecology and Evolution
Front. Mol. Biosci.                            Frontiers in Molecular Biosciences
Front. Neuroinform.                            Frontiers in Neuroinformatics
Front. Neurol.                                 Frontiers in Neurology
Front. Neurosci.                               Frontiers in Neuroscience
Front. Phys.                                   Frontiers in Physics
Front. Physiol.                                Frontiers in Physiology
Front. Psychiatry                              Frontiers in psychiatry
Front. Psychiatry                              Frontiers in Psychiatry
Front. Public Health                           Frontiers in Public Health
Futurist                                       The Futurist
Genome Biol.                                   Genome Biology
Genome Res.                                    Genome Research
Glob. Health                                   Globalization and Health
Hum. Brain Mapp.                               Human Brain Mapping
Hum. Brain Mapp.                               Human brain mapping
IEEE Comput. Graph. Appl.                      IEEE Computer Graphics and Applications
IEEE Internet Comput.                          IEEE Internet Computing
IEEE J. Sel. Top. Signal Process.              IEEE Journal of Selected Topics in Signal Processing
IEEE Signal Process Mag.                       IEEE Signal Processing Magazine
IEEE Signal Process. Lett.                     IEEE Signal Processing Letters
IEEE Trans. Automat. Contr.                    IEEE Transactions on Automatic Control
IEEE Trans. Comput.                            IEEE Transactions on Computers
IEEE Trans. Inf. Theory                        IEEE Transactions on Information Theory
IEEE Trans. Knowl. Data Eng.                   IEEE Transactions on Knowledge and Data Engineering
IEEE Trans. Netw. Sci. Eng.                    IEEE Transactions on Network Science and Engineering
IEEE Trans. Pattern Anal. Mach. Intell.        IEEE Transactions on Pattern Analysis and Machine Intelligence
IEEE/ACM Trans. Comput. Biol. Bioinform.       IEEE/ACM Transactions on Computational Biology and Bioinformatics
IEEE/ACM Trans. Comput. Biol. Bioinform.       IEEE/ACM transactions on computational biology and bioinformatics
IEEE/ACM Trans. Netw.                          IEEE/ACM Transactions on Networking
Ind. Eng. Chem. Fundam.                        Industrial & Engineering Chemistry Fundamentals
Inf. Sci.                                      Information Sciences
Inf. Syst.                                     Information Systems
Infect. Dis. Model.                            Infectious Disease Modelling
InfoCom                                        2011 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)
InfoCom                                        2011 {{IEEE Conference}} on {{Computer Communications Workshops}} ({{INFOCOM WKSHPS}})
Int. J. Environ. Res. Public Health            International Journal of Environmental Research and Public Health
Int. J. General Systems                        International Journal of General Systems
Int. J. Infect. Dis.                           International Journal of Infectious Diseases
Int. J. Theor. Phys.                           International Journal of Theoretical Physics
Int. Stat. Rev.                                International Statistical Review
Int. Stud. Rev.                                International Studies Review
Integr. Comp. Biol.                            Integrative and Comparative Biology
Interdiscip. Perspect. Infect. Dis.            Interdisciplinary Perspectives on Infectious Diseases
Internet Math.                                 Internet Mathematics
iScience                                       iScience
ISME Commun.                                   ISME Communications
J. Am. Stat. Assoc.                            Journal of the American Statistical Association
J. Anim. Ecol.                                 Journal of Animal Ecology
J. Anthropol. Res.                             Journal of Anthropological Research
J. Appl. Probab.                               Journal of Applied Probability
J. Assoc. Inf. Sci. Technol.                   Journal of the American Society for Information Science and Technology
J. Biol. Dyn.                                  Journal of Biological Dynamics
J. Bus. Res.                                   Journal of Business Research
J. Cell. Sci.                                  Journal of Cell Science
J. Chem. Phys.                                 The Journal of Chemical Physics
J. Classif.                                    Journal of Classification
J. Clin. Microbiol.                            Journal of Clinical Microbiology
J. Comb. Theory A                              Journal of Combinatorial Theory A
J. Commun.                                     Journal of Communication
J. Commun. Inq.                                Journal of Communication Inquiry
J. Complex Netw.                               Journal of Complex Networks
J. Comput. Appl. Math.                         Journal of Computational and Applied Mathematics
J. Comput. Graph. Stat.                        Journal of Computational and Graphical Statistics
J. Comput. Neurosci.                           Journal of Computational Neuroscience
J. Comput. Phys.                               Journal of Computational Physics
J. Comput. Sci.                                Journal of Computational Science
J. Comput.-Mediat. Commun.                     Journal of Computer-Mediated Communication
J. Exp. Algorithmics                           ACM Journal of Experimental Algorithmics
J. Infect.                                     Journal of Infection
J. Infect. Dis.                                The Journal of Infectious Diseases
J. Mach. Learn. Res.                           Journal of Machine Learning Research
J. Mach. Learn. Res.                           The Journal of Machine Learning Research
J. Math. Biol.                                 Journal of Mathematical Biology
J. Math. Ind.                                  Journal of Mathematics in Industry
J. Math. Phys.                                 Journal of Mathematical Physics
J. Math. Psychol.                              Journal of Mathematical Psychology
J. Math. Sociol.                               The Journal of Mathematical Sociology
J. Multivar. Anal.                             Journal of Multivariate Analysis
J. Neurosci.                                   Journal of Neuroscience
J. Neurosci. Methods                           Journal of Neuroscience Methods
J. Open Source Softw.                          Journal of Open Source Software
J. Organ. Behav.                               Journal of Organizational Behavior
J. Phys. A                                     Journal of Physics A
J. Phys. A                                     Journal of Physics A: Mathematical and Theoretical
J. Phys. Complex.                              Journal of Physics: Complexity
J. Phys. Soc. Japan                            Journal of the Physical Society of Japan
J. Policy Anal. Manage.                        Journal of Policy Analysis and Management
J. Public Health Pol.                          Journal of Public Health Policy
J. R. Soc. Interface                           Journal of the Royal Society Interface
J. R. Soc. Interface                           Journal of The Royal Society Interface
J. R. Stat. Soc. A                             Journal of the Royal Statistical Society Series A: Statistics in Society
J. R. Stat. Soc. A                             Journal of the Royal Statistical Society: Series A
J. R. Stat. Soc. B                             Journal of the Royal Statistical Society: Series B
J. R. Stat. Soc. B                             Journal of the Royal Statistical Society: Series B (Statistical Methodology)
J. R. Stat. Soc. B                             Journal of the Royal Statistical Society: Series B (Methodological)
J. R. Stat. Soc. C                             Journal of the Royal Statistical Society: Series C (Applied Statistics)
J. R. Stat. Soc. D                             Journal of the Royal Statistical Society. Series D (The Statistician)
J. Soc. Ind. Appl. Math.                       Journal of the Society for Industrial and Applied Mathematics
J. Soc. Issues                                 Journal of Social Issues
J. Soc. Struct.                                Journal of Social Structure
J. Stat. Mech.                                 Journal of Statistical Mechanics
J. Stat. Mech.                                 Journal of Statistical Mechanics: Theory and Experiment
J. Stat. Phys.                                 Journal of Statistical Physics
J. Stat. Softw.                                Journal of Statistical Software
J. Symb. Comput.                               Journal of Symbolic Computation
J. Theor. Biol.                                Journal of Theoretical Biology
J. Theor. Probab.                              Journal of Theoretical Probability
JAMA                                           The Journal of the American Medical Association
JAMA Psychiatry                                JAMA Psychiatry
JASSS                                          Journal of Artificial Societies and Social Simulation
JMIR Public Health Surveill.                   JMIR Public Health and Surveillance
Knowl. Inf. Syst.                              Knowledge and Information Systems
Knowl.-Based Syst.                             Knowledge-Based Systems
Lancet                                         The Lancet
Lancet Child Adolesc. Health                   The Lancet Child & Adolescent Health
Lancet Glob. Health                            The Lancet Global Health
Lancet Infect. Dis.                            The Lancet Infectious Diseases
Lancet Public Health                           The Lancet Public Health
Linear Algebra Appl                            Linear Algebra and its Applications
Math. Biosci.                                  Mathematical Biosciences
Math. Control. Signals Syst.                   Mathematics of Control, Signals, and Systems
Math. Financ.                                  Mathematical Finance
Math. Horizons                                 Math Horizons
Math. Intell.                                  The Mathematical Intelligencer
Math. Mag.                                     Mathematics Magazine
Math. Model. Nat. Phenom.                      Mathematical Modelling of Natural Phenomena
Mathematics                                    Mathematics
Matter                                         Matter
medRxiv                                        medRxiv
Metaphilosophy                                 Metaphilosophy
Methods Appl. Anal.                            Methods and Applications of Analysis
Methods Ecol. Evol.                            Methods in Ecology and Evolution
Mol. Biosyst.                                  Molecular BioSystems
Mol. Syst. Biol.                               Molecular Systems Biology
N. Engl. J. Med.                               New England Journal of Medicine
Nat. Biomed. Eng.                              Nature Biomedical Engineering
Nat. Biotechnol.                               Nature Biotechnology
Nat. Clim. Chang.                              Nature Climate Change
Nat. Commun.                                   Nature Communications
Nat. Comput. Sci.                              Nature Computational Science
Nat. Ecol. Evol.                               Nature Ecology & Evolution
Nat. Genet.                                    Nature Genetics
Nat. Hum. Behav.                               Nature Human Behaviour
Nat. Mach. Intell.                             Nature Machine Intelligence
Nat. Med.                                      Nature Medicine
Nat. Methods                                   Nature Methods
Nat. Microbiol.                                Nature Microbiology
Nat. Neurosci.                                 Nature Neuroscience
Nat. Photonics                                 Nature Photonics
Nat. Phys.                                     Nature Physics
Nat. Rev. Microbiol.                           Nature Reviews Microbiology
Nat. Rev. Neurosci.                            Nature Reviews Neuroscience
Nat. Rev. Phys.                                Nature Reviews Physics
Nature                                         Nature
Nature                                         nature
Netw. Comput. Neural Syst.                     Network: Computation in Neural Systems
Netw. Neurosci.                                Network Neuroscience
Netw. Sci.                                     Network Science
Neural Comput.                                 Neural Computation
Neural Netw.                                   Neural Networks
NeurIPS                                        Advances in neural information processing systems
NeurIPS                                        Advances in neural information processing systems (NeurIPS)
NeurIPS                                        Advances in neural information processing systems ({{NeurIPS}})
Neurocomputing                                 Neurocomputing
NeuroImage                                     Neuroimage
NeuroImage                                     NeuroImage
NeuroImage Clin.                               NeuroImage: Clinical
NeuroImage Clin.                               NeuroImage Clin
Neuron                                         Neuron
Neurophotonics                                 Neurophotonics
Neurosci. Lett.                                Neuroscience Letters
Neurosurg. Clin. N. Am.                        Neurosurgery Clinics of North America
Neurotherapeutics                              Neurotherapeutics
New J. Phys.                                   New Journal of Physics
Nonlinear Dyn.                                 Nonlinear Dynamics
Nonlinearity                                   Nonlinearity
Not. Am. Math. Soc.                            Notices of the American Mathematical Society
npj Parkinsons Dis.                            npj Parkinson's Disease
Oikos                                          Oikos
Opt. Express                                   Optics Express
Opt. Lett.                                     Optics Letters
Pattern Recognit.                              Pattern Recognition
Pattern Recognit. Lett.                        Pattern Recognition Letters
Patterns                                       Patterns
Philos. Trans. Royal Soc. A                    Philosophical Transactions of the Royal Society A
Philos. Trans. Royal Soc. B                    Philosophical Transactions of the Royal Society B
Philos. Trans. Royal Soc. B                    Philosophical Transactions of the Royal Society B: Biological Sciences
Philos. Trans. Royal Soc. B                    Philosophical Transactions of the Royal Society of London. B, Biological Sciences
Phys. Life Rev.                                Physics of Life Reviews
Phys. Med. Biol.                               Physics in Medicine and Biology
Phys. Rep.                                     Physics Reports
Phys. Rev.                                     Physical Review
Phys. Rev. A                                   Physical Review A
Phys. Rev. E                                   Physical Review E
Phys. Rev. Lett.                               Physical Review Letters
Phys. Rev. Research                            Physical Review Research
Phys. Rev. X                                   Physical Review X
Phys. Today                                    Physics Today
Phys. World                                    Physics World
Physica A                                      Physica A: Statistical Mechanics and its Applications
Physica A                                      Physica A
Physica D                                      Physica D
Physics                                        Physics
PLOS Biol.                                     PLOS Biology
PLOS Comput. Biol.                             PLOS Computational Biology
PLOS Curr.                                     PLOS Currents
PLOS Med.                                      PLOS Medicine
PLOS ONE                                       PLOS ONE
PLOS Pathog.                                   PLOS Pathogens
PMLR                                           Proceedings of the 35th {{International Conference}} on {{Machine Learning}}
PNAS Nexus                                     PNAS Nexus
Popul. Ecol.                                   Population Ecology
PROC VLDB ENDOW                                Proceedings of the VLDB Endowment
Proc. Am. Philos. Soc.                         Proceedings of the American Philosophical Society
Proc. Amer. Math. Soc.                         Proceedings of the American Mathematical Society
Proc. Innov. Appl. Artif. Intell. Conf.        Proceedings of the AAAI Conference on Artificial Intelligence
Proc. Natl. Acad. Sci. U.S.A.                  Proceedings of the National Academy of Sciences of the United States of America
Proc. Natl. Acad. Sci. U.S.A.                  Proceedings of the National Academy of Sciences
Proc. R. Soc. A                                Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences
Proc. R. Soc. A                                Proceedings of the Royal Society A
Proc. R. Soc. B                                Proceedings of the Royal Society B: Biological Sciences
Proc. R. Soc. B                                Proceedings of the Royal Society B
Proc. Winter Simul. Conf.                      Proceedings {{Winter Simulation Conference}}
Psychiatr. Q.                                  Psychiatric Quarterly
Publ. Math.                                    Publicationes Mathematicae
Publ. Math.                                    Publicationes Mathematicae Debrecen
Publ. Math. Inst. Hung. Acad. Sci.             Publications of the Mathematical Institute of the Hungarian Academy of Sciences
R. Soc. Open Sci.                              Royal Society Open Science
Radiology: Cardiothoracic Imaging              Radiology: Cardiothoracic Imaging
Random Struct. Algorithms                      Random Structures & Algorithms
Rev. Med. Virol.                               Reviews in Medical Virology
Rev. Mod. Phys.                                Reviews of Modern Physics
Rose-Hulman Undergrad. Math J.                 Rose-Hulman Undergraduate Mathematics Journal
Sankhya Ser. A                                 Sankhya A
Scand. J. Stat.                                Scandinavian Journal of Statistics
Sci. Adv.                                      Science Advances
Sci. Am.                                       Scientific American
Sci. China Inf. Sci.                           Science China Information Sciences
Sci. China Life Sci.                           Science China Life Sciences
Sci. Data                                      Scientific Data
Sci. Rep.                                      Scientific Reports
Science                                        Science (New York, N.Y.)
Science                                        Science
Scientometrics                                 Scientometrics
Sensors                                        Sensors
SIAM J. Appl. Dyn. Syst.                       SIAM Journal on Applied Dynamical Systems
SIAM J. Appl. Math.                            SIAM Journal on Applied Mathematics
SIAM J. Discrete Math.                         SIAM Journal on Discrete Mathematics
SIAM J. Financial Math.                        SIAM Journal on Financial Mathematics
SIAM J. Math. Anal.                            SIAM Journal on Mathematical Analysis
SIAM J. Math. Data Sci.                        SIAM Journal on Mathematics of Data Science
SIAM J. Matrix Anal. Appl.                     SIAM Journal on Matrix Analysis and Applications
SIAM News                                      SIAM News
SIAM Rev.                                      SIAM Review
Significance                                   Significance
Small Group Res.                               Small Group Research
Soc. Netw. Anal. Min.                          Social Network Analysis and Mining
Soc. Networks                                  Social Networks
Soc. Text                                      Social Text
Sociol. Methodol.                              Sociological Methodology
Sociologica                                    Sociologica
Sociometry                                     Sociometry
Softw. Pract. Exp.                             Software: Practice and Experience
SoftwareX                                      SoftwareX
SPAA19                                         The 31st {{ACM Symposium}} on {{Parallelism}} in {{Algorithms}} and {{Architectures}}
SSRN Electronic Journal                        SSRN Electronic Journal
Stan. L. Rev.                                  Stanford Law Review
Stat. Anal. Data Min.                          Statistical Analysis and Data Mining: The ASA Data Science Journal
Stat. Comput.                                  Statistics and Computing
Stat. Sci.                                     Statistical Science
Stat. Sin.                                     Statistica Sinica
Stoch. Process. their Appl.                    Stochastic Processes and their Applications
Sustain. Cities Soc.                           Sustainable Cities and Society
Swiss Med. Wkly.                               Swiss Medical Weekly
Systems                                        Systems
Theor. Comput. Sci.                            Theoretical Computer Science
Transl. Psychiatry                             Translational Psychiatry
Transl. Psychiatry                             Translational psychiatry
Trends Cogn. Sci.                              Trends in Cognitive Sciences
Trends Ecol. Evol.                             Trends in Ecology & Evolution
Trends Neurosci.                               Trends in Neurosciences
Trop. Med. Int. Health                         Tropical Medicine & International Health
Tuber. Lung Dis.                               Tubercle and Lung Disease
Virulence                                      Virulence
Virus Evol.                                    Virus Evolution
Wellcome Open Res.                             Wellcome Open Research
Wellcome Open Res.                             Wellcome open research
WIREs Comput. Stat.                            Wiley Interdisciplinary Reviews: Computational Statistics
WSDM17                                         Proceedings of the {{Tenth ACM International Conference}} on {{Web Search}} and {{Data Mining}}
WWW21                                          Proceedings of the {{Web Conference}} 2021
WWW23                                          Proceedings of the {{ACM Web Conference}} 2023
