#
# Using the ISO-4 standard of journal abbreviations
#
Abbreviated Name                     Complete Name
J. Classif.                          Journal of Classification
J. Clin. Microbiol.                  Journal of Clinical Microbiology
J. Comb. Theory A                    Journal of Combinatorial Theory A
J. Commun.                           Journal of Communication
J. Commun. Inq.                      Journal of Communication Inquiry
J. Complex Netw.                     Journal of Complex Networks
J. Comput. Appl. Math.               Journal of Computational and Applied Mathematics
J. Comput. Graph. Stat.              Journal of Computational and Graphical Statistics
J. Comput.-Mediat. Commun.           Journal of Computer-Mediated Communication
J. Exp. Algorithmics                 ACM Journal of Experimental Algorithmics
J. Infect.                           Journal of Infection
J. Infect. Dis.                      The Journal of Infectious Diseases
J. Mach. Learn. Res.                 Journal of Machine Learning Research
J. Math. Biol.                       Journal of Mathematical Biology
J. Math. Ind.                        Journal of Mathematics in Industry
J. Math. Phys.                       Journal of Mathematical Physics
J. Math. Sociol.                     The Journal of Mathematical Sociology
J. Multivar. Anal.                   Journal of Multivariate Analysis
J. Neurosci.                         Journal of Neuroscience
J. Neurosci. Methods                 Journal of Neuroscience Methods
J. Phys. A                           Journal of Physics A
J. Phys. A                           Journal of Physics A: Mathematical and Theoretical
J. Phys. Complex.                    Journal of Physics: Complexity
J. Phys. Soc. Japan                  Journal of the Physical Society of Japan
J. Public Health Pol.                Journal of Public Health Policy
J. R. Soc. Interface                 Journal of the Royal Society Interface
J. R. Stat. Soc. A                   Journal of the Royal Statistical Society: Series A
J. R. Stat. Soc. B                   Journal of the Royal Statistical Society: Series B
J. R. Stat. Soc. B                   Journal of the Royal Statistical Society: Series B (Statistical Methodology)
J. Soc. Ind. Appl. Math.             Journal of the Society for Industrial and Applied Mathematics
J. Soc. Issues                       Journal of Social Issues
J. Soc. Struct.                      Journal of Social Structure
J. Stat. Mech.                       Journal of Statistical Mechanics
J. Stat. Phys.                       Journal of Statistical Physics
J. Theor. Biol.                      Journal of Theoretical Biology
J. Theor. Probab.                    Journal of Theoretical Probability
JAMA                                 The Journal of the American Medical Association
JASSS                                Journal of Artificial Societies and Social Simulation
Lancet                               The Lancet
Lancet Child Adolesc. Health         The Lancet Child & Adolescent Health
Lancet Glob. Health                  The Lancet Global Health
Lancet Infect. Dis.                  The Lancet Infectious Diseases
Lancet Public Health                 The Lancet Public Health
Linear Algebra Appl                  Linear Algebra and its Applications
Math. Biosci.                        Mathematical Biosciences
Math. Control. Signals Syst.         Mathematics of Control, Signals, and Systems
Math. Financ.                        Mathematical Finance
Math. Horizons                       Math Horizons
Math. Intell.                        The Mathematical Intelligencer
Mathematics                          Mathematics
medRxiv                              medRxiv
Mol. Biosyst.                        Molecular BioSystems
N. Engl. J. Med.                     New England Journal of Medicine
Nat. Commun.                         Nature Communications
Nat. Comput. Sci.                    Nature Computational Science
Nat. Hum. Behav.                     Nature Human Behaviour
Nat. Mach. Intell.                   Nature Machine Intelligence
Nat. Med.                            Nature Medicine
Nat. Methods                         Nature Methods
Nat. Microbiol.                      Nature Microbiology
Nat. Neurosci.                       Nature Neuroscience
Nat. Photonics                       Nature Photonics
Nat. Phys.                           Nature Physics
Nat. Rev. Microbiol.                 Nature Reviews Microbiology
Nat. Rev. Phys.                      Nature Reviews Physics
Nature                               Nature
Neural Comput.                       Neural Computation
Neural Netw.                         Neural Networks
NeuroImage                           NeuroImage
Neurophotonics                       Neurophotonics
New J. Phys.                         New Journal of Physics
Nonlinearity                         Nonlinearity
Not. Am. Math. Soc.                  Notices of the American Mathematical Society
Oikos                                Oikos
Pattern Recognit. Lett.              Pattern Recognition Letters
Philos. Trans. Royal Soc. A          Philosophical Transactions of the Royal Society A
Philos. Trans. Royal Soc. B          Philosophical Transactions of the Royal Society B
Phys. Med. Biol.                     Physics in Medicine and Biology
Phys. Rep.                           Physics Reports
Phys. Rev. A                         Physical Review A
Phys. Rev. E                         Physical Review E
Phys. Rev. Lett.                     Physical Review Letters
Phys. Rev. Research                  Physical Review Research
Phys. Rev. X                         Physical Review X
Phys. Today                          Physics Today
Phys. World                          Physics World
Physica A                            Physica A: Statistical Mechanics and its Applications
Physica A                            Physica A
Physica D                            Physica D
Physics                              Physics
PLOS Biol.                           PLOS Biology
PLOS Comput. Biol.                   PLOS Computational Biology
PLOS Curr.                           PLOS Currents
PLOS Med.                            PLOS Medicine
PLOS ONE                             PLOS ONE
PLOS Pathog.                         PLOS Pathogens
Proc. Am. Philos. Soc.               Proceedings of the American Philosophical Society
Proc. Amer. Math. Soc.               Proceedings of the American Mathematical Society
Proc. Natl. Acad. Sci. U.S.A.        Proceedings of the National Academy of Sciences
Proc. Natl. Acad. Sci. U.S.A.        Proceedings of the National Academy of Sciences of the United States of America
Proc. R. Soc. A                      Proceedings of the Royal Society A
Proc. R. Soc. B                      Proceedings of the Royal Society B
Publ. Math.                          Publicationes Mathematicae
Publ. Math. Inst. Hung. Acad. Sci.   Publications of the Mathematical Institute of the Hungarian Academy of Sciences
R. Soc. Open Sci.                    Royal Society Open Science
Radiology: Cardiothoracic Imaging    Radiology: Cardiothoracic Imaging
Random Struct. Algorithms            Random Structures & Algorithms
Rev. Mod. Phys.                      Reviews of Modern Physics
Sci. Adv.                            Science Advances
Sci. Am.                             Scientific American
Sci. China Life Sci.                 Science China Life Sciences
Sci. Rep.                            Scientific Reports
Science                              Science
SIAM J. Appl. Math.                  SIAM Journal on Applied Mathematics
SIAM J. Discrete Math.               SIAM Journal on Discrete Mathematics
SIAM J. Financial Math.              SIAM Journal on Financial Mathematics
SIAM J. Math. Anal.                  SIAM Journal on Mathematical Analysis
SIAM J. Math. Data Sci.              SIAM Journal on Mathematics of Data Science
SIAM News                            SIAM News
SIAM Rev.                            SIAM Review
Significance                         Significance
Soc. Networks                        Social Networks
Soc. Text                            Social Text
Sociol. Methodol.                    Sociological Methodology
Sociometry                           Sociometry
SoftwareX                            SoftwareX
SSRN Electronic Journal              SSRN Electronic Journal
Stan. L. Rev.                        Stanford Law Review
Stat. Comput.                        Statistics and Computing
Stat. Sci.                           Statistical Science
Stat. Sin.                           Statistica Sinica
Swiss Med. Wkly.                     Swiss Medical Weekly
Systems                              Systems
Trends Ecol. Evol.                   Trends in Ecology & Evolution
Trop. Med. Int. Health               Tropical Medicine & International Health
Tuber. Lung Dis.                     Tubercle and Lung Disease
Virulence                            Virulence
Virus Evol.                          Virus Evolution
Wellcome Open Res.                   Wellcome Open Research
WIREs Comput. Stat.                  Wiley Interdisciplinary Reviews: Computational Statistics
