Abbreviated Name                                   Complete Name
Bull. Sci. Technol. Soc.                           Bulletin of Science, Technology & Society
Calif. L. Rev.                                     California Law Review
Cell                                               Cell
CMJ                                                The College Mathematics Journal
C. R. Phys.                                        Comptes Rendus Physique
Conn. L. Rev.                                      Connecticut Law Review
Contemp. Phys.                                     Contemporary Physics
Ethics Inf. Technol.                               Ethics and Information Technology
J. Am. Stat. Assoc.                                Journal of the American Statistical Association
JASSS                                              Journal of Artificial Societies and Social Simulation
J. Commun.                                         Journal of Communication
J. Commun. Inq.                                    Journal of Communication Inquiry
J. Mach. Learn. Res.                               Journal of Machine Learning Research
J. Math. Sociol.                                   The Journal of Mathematical Sociology
J. R. Stat. Soc. A                                 Journal of the Royal Statistical Society: Series A
J. R. Stat. Soc. B                                 Journal of the Royal Statistical Society: Series B
Math. Horizons                                     Math Horizons
Math. Financ.                                      Mathematical Finance
Neural Comput.                                     Neural Computation
Oikos                                              Oikos
Phys. World                                        Physics World
Proc. Am. Philos. Soc.                             Proceedings of the American Philosophical Society
Proc. Amer. Math. Soc.                             Proceedings of the American Mathematical Society
Publ. Math.                                        Publicationes Mathematicae
Significance                                       Significance
Soc. Text                                          Social Text
Sociometry                                         Sociometry
Stan. L. Rev.                                      Stanford Law Review
Stat. Sci.                                         Statistical Science
Trop. Med. Int. Health                             Tropical Medicine & International Health
Wellcome Open Res.                                 Wellcome Open Research
WIREs Comput. Stat.                                Wiley Interdisciplinary Reviews: Computational Statistics
#
# =~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=~=
# Not sure...
#
SSRN Electronic Journal                           SSRN Electronic Journal
